symbol,sector,fullTimeEmployees,trailingAnnualDividendYield,payoutRatio,averageDailyVolume10Day,trailingAnnualDividendRate,averageVolume10days,dividendRate,beta,priceHint,trailingPE,regularMarketVolume,marketCap,averageVolume,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,enterpriseToRevenue,profitMargins,enterpriseToEbitda,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,priceToBook,heldPercentInsiders,shortRatio,enterpriseValue,earningsQuarterlyGrowth,pegRatio,shortPercentOfFloat,increment
AAPL,Technology,147000,0.006667768,0.2177,123191000,0.807,123191000,0.82,1.251354,2,33.628967,92590555,2081556529152,112294961,7.0768747,26.49359,1.42,0.0068,7.028,0.21735,24.273,4.68,3.936,0.006,0.59661996,63929999360,3.687,0.0,31.501522,0.00065,0.97,2067080282112,0.293,2.02,0.006,-0.045276025829616644
AAT,Real Estate,189,0.02817695,2.1739,543116,1.0,543116,1.12,1.260021,2,77.09956,189146,2154065920,317593,6.2967076,45.666668,2.86,0.031600002,10.033,0.08085,17.789,0.78,21.024,0.0178,0.97100997,27660000,0.462,0.0,1.6942542,0.01511,3.5,3432177152,-0.774,25.39,0.0315,0.22533714730234916
AAU,Basic Materials,9,0.0,0.0,1868833,0.0,1868833,0.0,1.401045,4,0.0,1711132,88134216,5526708,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.0068,0.09401,0,-0.03,0.0,1.5018556,0.04642,0.09,86782944,0.0,0.0,0.0069999998,-0.1430588569905097
AAWW,Industrials,4061,0.0,0.0,537733,0.0,537733,0.0,1.330985,2,4.4207406,330782,1718646784,501225,0.5352179,7.079478,0.0,0.0,1.148,0.1122,4.657,8.43,82.186,0.0881,1.00143,360286016,13.5,0.0,0.7261578,0.015759999,4.34,3685486336,0.0,0.58,0.1178,-0.04097700877098397
AAXJ,0,0,0.0,0.0,949266,0.0,949266,0.0,0.0,2,0.0,670557,0,1186823,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.06719363268203532
AB,Financial Services,3929,0.0753886,0.96879995,444833,2.91,444833,3.88,1.451787,2,13.685853,905007,3876857856,457125,12.570712,10.725544,8.66,0.1005,12.306,0.90589,0.0,3.68,16.315,0.0058,0.19607,279380000,2.884,0.0,2.4192462,0.02197,0.94,3795265536,0.165,0.79,0.0058999998,0.09330636176281136
ABB,Industrials,105600,0.02936018,5.8943,1875600,0.904,1875600,0.87,1.073434,2,12.756358,2497765,63132069888,1936401,2.4157064,21.013514,3.35,0.028399998,2.471,0.19691,23.61,1.48,7.723,0.0021,0.048060004,286000000,2.438,0.0,4.0269327,0.0,2.11,64573382656,0.0,1.48,0.0,0.0318513938706648
ABBV,Healthcare,47000,0.044723712,1.7353,5992233,4.84,5992233,5.2,0.809859,2,40.536766,6558661,194705932288,7149073,4.25085,7.9898553,4.15,0.0481,5.889,0.10078,12.167,13.8,7.408,0.0087,0.70001,4556000256,2.72,0.0,14.883909,0.001,2.0,269735723008,-0.987,1.9,0.0087,0.0499952375316508
ABC,Healthcare,22000,0.015054907,0.0,1359500,1.7,1359500,1.76,0.480498,2,0.0,659347,23266885632,1197986,0.11959596,12.449069,1.74,0.0156,0.118,-0.01656,8.678,9.13,-3.406,0.0124,0.67123,-3221510912,-15.76,0.0,0.0,0.28052,2.3,22998800384,0.998,1.32,0.0172,0.07358081338841602
ABCB,Financial Services,2671,0.010816658,0.1592,463966,0.6,463966,0.6,1.438786,2,14.774536,501761,3877778432,419125,4.1338058,14.245524,1.12,0.0108,2.486,0.27928,0.0,3.91,38.207,0.0251,0.8559,261988000,3.77,0.0,1.4578481,0.05432,4.92,2332493312,0.539,1.32,0.0312,0.17189148313635702
ABCL,Healthcare,174,0.0,0.0,1027783,0.0,1027783,0.0,0.0,2,0.0,891669,10108009472,1000260,355.3012,0.0,0.0,0.0,197.81,0.00975,-1418.773,0.0,0.0,0.0083,0.072620004,-283599,0.0,0.0,0.0,0.32824,2.98,5627534848,0.0,0.0,0.0143,-0.14794646024309843
ABCM,Healthcare,1600,0.0,0.0,139183,0.0,139183,0.15,0.399568,2,0.0,98352,4916651008,178501,0,0.0,0.84,0.0073,0.0,-0.0070599997,0.0,0.0,0.0,0.0002,0.0136899995,0,0.0,0.0,0.0,0.0,0.36,4637952000,-0.552,0.0,0.0,-0.09789915959652042
ABEO,Healthcare,88,0.0,0.0,2328200,0.0,2328200,0.0,1.556338,4,0.0,1774309,222064208,4426416,31.723457,-3.3970587,0.0,0.0,20.522,0.0,-3.22,-0.68,1.362,0.0355,0.37927,-84837000,-1.015,0.0,1.6960353,0.16219,0.48,143653152,0.0,0.0,0.0417,-0.04149383381315483
ABEQ,0,0,0.0,0.0,12583,0.0,12583,0.0,0.0,2,0.0,18938,0,9783,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03470664485796058
ABEV,Consumer Defensive,50000,0.051636364,0.5548,26889933,0.142,26889933,0.01,0.896694,4,15.568182,11578859,42522058752,24800775,0,22.833334,2.72,0.0052,0.0,0.19492,0.0,0.12,0.987,0.0043,0.08615,0,0.176,0.0,2.7760892,0.0,2.8,43271016448,0.655,-2.06,0.0,-0.024911008778724986
ABG,Consumer Cyclical,7600,0.0,0.0,236783,0.0,236783,0.0,1.68689,2,14.453717,103561,3682136320,208410,0.5162983,12.3621025,0.0,0.0,0.85,0.035669997,13.63,15.41,46.953,0.11,1.08152,254400000,13.18,0.0,4.0572486,0.01035,10.16,6062658048,1.044,0.6,0.155,0.18396524068583187
ABGI,Financial Services,0,0.0,0.0,199833,0.0,199833,0.0,0.0,2,0.0,134792,191779392,480983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,-297864,0.0,0.0,0.0,0.0,0.0,30030000,0.0,0.0,0.0001,-0.046153803831019906
ABIO,Healthcare,13,0.0,0.0,934716,0.0,934716,0.0,2.767063,4,0.0,487146,40175536,1063186,0,-0.4897727,0.0,0.0,0.0,0.0,1.911,-8.8,5.434,0.0212,0.08427,-5839000,-2.112,0.0,0.7931542,0.00398,0.13,-11292323,0.0,0.0,0.021300001,-0.09263159099378084
ABM,Industrials,100000,0.014343474,1.0751001,545833,0.745,545833,0.76,1.337486,2,74.605446,445791,3488664320,355241,0.59461474,16.30094,1.92,0.0146,0.676,0.00799,9.209,3.19,23.392,0.0174,0.95559,46900000,0.697,0.0,2.2229822,0.0105,3.84,3968938752,1.664,0.82,0.0239,0.221230572190231
ABMD,Healthcare,1536,0.0,0.0,299283,0.0,299283,0.0,1.375406,2,70.020515,206495,13894057984,344083,17.091228,62.434956,0.0,0.0,16.304,0.2466,52.9,4.92,27.893,0.028800001,0.97471,200467008,4.387,0.0,11.012798,0.02333,3.35,13254278144,-0.106,3.87,0.033,-0.0746754479433844
ABNB,Communication Services,5597,0.0,0.0,6217933,0.0,6217933,0.0,0.0,2,0.0,4337470,125458112512,7346715,37.137573,0.0,0.0,0.0,35.47,-1.35715,-35.925,0.0,0.0,0.0222,0.04713,-4584715776,0.0,0.0,0.0,0.0075700004,2.43,119824343040,0.0,-0.95,0.111999996,0.04436264904771257
ABR,Real Estate,522,0.075494304,0.8723,1330000,1.26,1330000,1.32,1.886782,2,12.009943,1091913,2095521024,1321488,4.91241,8.716495,9.04,0.0791,18.612,0.40075,0.0,1.94,10.187,0.037,0.41544998,163395008,1.408,0.0,1.6599587,0.03587,3.24,7939520000,1.632,0.92,0.0396,0.06662844035317553
ABST,Technology,526,0.0,1.2682,142933,0.0,142933,0.25,0.815806,2,0.0,43002,754264064,124861,6.760245,0.0,3.85,0.016,5.92,0.08046,36.271,0.0,0.0,0.0156,0.50283,8977724,0.0,0.0,0.0,0.00426,5.08,660569472,-0.298,0.0,0.0,-0.01593371616864585
ABT,Healthcare,109000,0.013109417,0.5783,5039516,1.53,5039516,1.8,0.723185,2,47.18338,4044983,209217683456,4990055,6.045356,22.074766,1.82,0.0154,6.349,0.12988,24.743,5.35,18.509,0.0055,0.75579,4448999936,2.503,0.0,6.380679,0.00693,1.76,219716190208,1.061,1.42,0.0057,-0.040149564407088965
ABTX,Financial Services,598,0.009350164,0.18020001,124750,0.4,124750,0.48,1.097508,2,18.968468,70054,849232384,84850,4.6288524,16.710318,0.0,0.0112,3.908,0.24819,0.0,2.52,37.542,0.0121,0.45775002,45534000,2.22,0.0,1.121677,0.080740005,3.87,716915904,0.14,0.0,0.015700001,0.13824495816836221
ABUS,Healthcare,76,0.0,0.0,2106383,0.0,2106383,0.0,3.052004,4,0.0,1254866,365707072,3624878,52.893703,-5.641791,0.0,0.0,56.608,0.0,-7.079,-0.67,-0.529,0.036,0.3096,-75868000,-1.0,0.0,0.0,0.21229,0.94,391386048,0.0,0.0,0.0454,-0.13895214433893804
AC,Financial Services,0,0.00551116,0.2299,27883,0.2,27883,0.2,1.299024,2,43.55529,20090,817035840,14326,43.040398,14.142858,0.0,0.0055,33.3,0.99120003,-50.914,2.59,40.421,0.0021,0.74778,19448000,0.841,0.0,0.9062121,0.0252,3.48,632132992,3.638,0.0,0.026300002,0.005214117688439928
ACA,Industrials,6410,0.0030134097,0.0917,274383,0.2,274383,0.2,0.420773,2,30.761465,385334,3230763008,283771,1.6691275,26.505928,0.0,0.003,1.749,0.055069998,12.136,2.53,39.257,0.0115,0.90791,105800000,2.18,0.0,1.7082304,0.00604,2.09,3384720384,-0.502,6.42,0.0156,0.026638056826375094
ACAC,Financial Services,0,0.0,0.0,345033,0.0,345033,0.0,0.0,2,0.0,183570,275788544,549303,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,0.0,0.0,0.0,0.12,273447488,0.0,0.0,0.0,-0.04295051694757614
ACACU,Financial Services,0,0.0,0.0,38300,0.0,38300,0.0,0.0,2,0.0,2669,0,94216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083620004,0,0.0,0.0,0.0,0.0,0.0,290972160,0.0,0.0,0.0,-0.0670679041526981
ACAD,Healthcare,601,0.0,0.0,7989000,0.0,7989000,0.0,1.232394,2,0.0,4534146,4799809536,1621091,10.86532,-29.116505,0.0,0.0,8.478,-0.63742,-16.224,-1.03,3.928,0.041300002,0.96169996,-281584000,-1.79,0.0,7.6349287,0.0038,6.88,3745272576,0.0,-1.03,0.0717,-0.42025903660346964
ACB,Healthcare,2731,0.0,0.0,13535083,0.0,13535083,0.0,3.109732,2,51.574074,16469718,2186080256,24522541,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.439,0.1025,0.14139,0,0.216,0.0,3.2393138,0.0019699999,0.65,2086433792,0.0,0.0,0.0,-0.08763306236537942
ACBI,Financial Services,0,0.0,0.0,117550,0.0,117550,0.0,0.865113,2,23.466667,75297,502530336,83378,6.296426,13.318918,0.0,0.0,-0.807,0.28241,0.0,1.85,16.601,0.010299999,0.87259,22540000,1.05,0.0,1.4842479,0.03192,2.5,-64419524,0.394,1.06,0.0126,0.277345682747721
ACC,Real Estate,2988,0.042991083,3.6863,1588400,1.88,1588400,1.88,0.938244,2,87.94118,1004305,6173198336,938368,7.0908704,86.25,4.15,0.043,11.622,0.083629996,24.822,0.52,22.642,0.0216,1.01379,70661000,0.51,0.0,1.980832,0.00682,3.1,10117838848,0.004,13.48,0.0298,0.04765234840900575
ACCD,Healthcare,1230,0.0,0.0,1125650,0.0,1125650,0.0,0.0,2,0.0,1067473,2821699072,879021,18.138159,0.0,0.0,0.0,13.669,-0.30897,-54.732,0.0,0.0,0.0368,0.39393002,-48065000,0.0,0.0,0.0,0.28318,2.48,2126389504,0.0,-1.23,0.0586,-0.08226176628126539
ACCO,Industrials,6100,0.029246341,0.4,816233,0.26,816233,0.26,2.305525,2,13.723078,669407,847669376,549738,0.5121251,6.5588236,0.0,0.0291,1.232,0.03746,11.078,1.36,7.823,0.0298,0.94201,62000000,0.65,0.0,1.1402276,0.028719999,5.69,2038418048,-0.315,0.83,0.0307,0.07211543311028969
ACEL,Consumer Cyclical,730,0.0,0.0,221116,0.0,221116,0.0,0.0,2,0.0,394701,1171073024,293526,3.2230954,0.0,0.0,0.0,3.64,-0.06519,38.782,0.0,0.0,0.028800001,0.65734,-23686000,0.0,0.0,0.0,0.18863001,13.96,1322556928,0.0,4.75,0.0612,0.14366734108928356
ACER,Healthcare,20,0.0,0.0,270533,0.0,270533,0.0,1.235525,4,0.0,21978102,60102836,905306,0,-2.153846,0.0,0.0,0.0,0.0,-1.945,-1.95,0.621,0.0064,0.37467,-22885448,-2.058,0.0,6.7632847,0.25213,0.23,43972508,0.0,0.0,0.0097,0.17318432926592117
ACES,0,0,0.0,0.0,179733,0.0,179733,0.0,0.0,2,0.0,220349,0,203538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.10384911686769648
ACET,Healthcare,0,0.0,0.0,126516,0.0,126516,0.0,0.0,2,0.0,148483,527552992,134858,29.467295,-7.155173,0.0,0.0,10.12,-2.04871,-4.771,-2.32,5.969,0.0072000003,0.47072,-36678000,-5.011,0.0,2.7810354,0.14725,1.08,181184368,0.0,-0.22,0.0,0.02977664499049461
ACEV,Financial Services,0,0.0,0.0,547783,0.0,547783,0.0,0.0,2,0.0,365648,301012512,1167633,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184,0.35712,0,0.0,0.0,0.0,0.0,0.44,307292480,0.0,0.0,0.0,-0.1382715559051751
ACEVU,Financial Services,0,0.0,0.0,5483,0.0,5483,0.0,0.0,2,0.0,3031,0,38780,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54433,0,0.0,0.0,0.0,0.0,0.04,332879968,0.0,0.0,0.0,-0.16342695476281352
ACGL,Financial Services,4500,0.0,0.0,2359883,0.0,2359883,0.0,0.847778,2,11.472892,1301473,15350841344,3071481,1.8006271,10.378746,0.0,0.0,1.915,0.16486,8.653,3.67,30.428,0.0085,0.89722,1363908992,3.32,0.0,1.2518076,0.029260002,0.91,16329092096,0.665,1.51,0.0088,0.08549444248944381
ACGLO,Financial Services,4500,0.0,0.0,27133,0.0,27133,1.36,0.847778,2,7.9036145,14757,15300255744,17040,1.7946935,0.0,0.0,0.051799998,1.372,0.16486,6.196,0.0,30.428,0.0,0.29860002,1363908992,3.32,0.0,0.86236364,0.0,0.49,11693038592,0.665,0.0,0.0,0.02053575965553168
ACGLP,Financial Services,4500,0.0,0.0,35766,0.0,35766,1.31,0.847778,2,7.6385546,30994,15389894656,31166,1.805208,0.0,0.0,0.0511,1.334,0.16486,6.028,0.0,30.428,0.0,0.26655,1363908992,3.32,0.0,0.8334429,0.0,0.55,11375949824,0.665,0.0,0.0,0.009762675153285825
ACH,Basic Materials,65507,0.0,0.0,329283,0.0,329283,0.0,2.188984,2,41.2,90186,11213790208,156681,0,-1339.0001,0.0,0.0,0.0,0.0027700001,0.0,-0.01,13.125,0.0002,0.01559,0,0.325,0.0,1.0201905,0.0,0.65,8926689280,3.006,0.0,0.0,0.20089693286354965
ACHC,Healthcare,28600,0.0,0.0,695650,0.0,695650,0.0,1.520585,2,0.0,510332,5428763136,621240,2.5975826,22.415442,0.0,0.0,3.953,-0.3216,19.303,2.72,21.579,0.0512,1.06383,140258000,-7.59,0.0,2.825432,0.014989999,7.08,8262386688,0.0,1.7,0.0733,0.17679983795820267
ACHV,Healthcare,13,0.0,0.0,149200,0.0,149200,0.0,1.281854,2,0.0,146853,74414032,312091,0,-3.025,0.0,0.0,0.0,0.0,-2.481,-4.0,6.101,0.070199996,0.15126,-14730000,-5.418,0.0,1.9832815,0.00483,1.95,35960532,0.0,0.0,0.0704,-0.14305945612331522
ACI,Consumer Defensive,270000,0.0,0.0588,1983616,0.0,1983616,0.4,0.0,2,0.0,1580587,8728743936,2597346,0.1258562,0.0,0.0,0.022,0.329,0.015310001,5.259,0.0,0.0,0.0341,0.73627,978700032,0.0,0.0,0.0,0.14939,6.07,22841845760,1.257,0.31,0.1225,0.13019890461394412
ACIC,Financial Services,0,0.0,0.0,3669616,0.0,3669616,0.0,0.0,2,0.0,2041199,682500032,3461559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537,0.096,-393930,0.0,0.0,0.0,0.0,0.54,697029184,0.0,0.0,0.0,-0.3292383528428456
ACIO,0,0,0.0,0.0,17183,0.0,17183,0.0,0.0,2,0.0,26885,0,35203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0017908036147535602
ACIU,Healthcare,115,0.0,0.0,356600,0.0,356600,0.0,0.806355,2,0.0,249553,579669696,1027868,0,-14.428572,0.0,0.0,0.0,0.0,0.0,-0.56,2.986,0.020399999,0.2982,0,-0.547,0.0,2.705961,0.4699,0.71,561015040,0.0,0.0,0.0544,0.008739037805744285
ACIW,Technology,3768,0.0,0.0,549850,0.0,549850,0.0,1.212351,2,65.28226,518612,4741362688,655338,3.6632016,30.662876,0.0,0.0,4.5,0.05614,23.191,1.32,10.303,0.033299997,1.07032,72660000,0.62,0.0,3.928467,0.022130001,6.47,5824660480,0.21,2.82,0.0387,-0.046075932524002564
ACKIT,Financial Services,0,0.0,0.0,66483,0.0,66483,0.0,0.0,2,0.0,285545,0,66915,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6696,0.0,0.0,0.0,0.0,0.11,39414840,0.0,0.0,0.0,-0.024509804379889626
ACKIU,Financial Services,0,0.0,0.0,15750,0.0,15750,0.0,0.0,2,0.0,515128,0,79823,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6696,0.0,0.0,0.0,0.0,0.03,40792964,0.0,0.0,0.0,-0.04828230600387987
ACLS,Technology,1004,0.0,0.0,428983,0.0,428983,0.0,1.423076,2,28.013699,365722,1379642880,402041,2.9072044,16.558704,0.0,0.0,2.511,0.10532,18.977,2.47,14.319,0.028800001,0.8622,49982000,1.46,0.0,2.8563447,0.01937,2.91,1191391872,0.511,0.9,0.0346,0.028930855996953615
ACM,Industrials,54000,0.0,0.0,859250,0.0,859250,0.0,1.619176,2,0.0,845354,9240862720,1039671,0.6938876,19.923567,0.0,0.0,0.85,-0.01508,14.973,3.14,19.574,0.0214,0.94241995,222944992,-1.275,0.0,3.1960766,0.01013,2.98,11322244096,-0.357,0.88,0.0297,0.09447168544951262
ACMR,Technology,543,0.0,0.0,369800,0.0,369800,0.0,0.876269,2,105.853935,152699,1765778048,359686,11.273994,38.45306,0.0,0.0,11.073,0.119899996,76.918,2.45,7.548,0.0458,0.38513002,18780000,0.89,0.0,12.481452,0.29885998,2.5,1734265728,1.163,3.41,0.0653,-0.23753641189740995
ACN,Technology,514000,0.012681637,0.4039,2611400,3.36,2611400,3.52,1.122968,2,32.774498,2295601,176033808384,2050618,3.935452,29.32379,1.65,0.013300001,3.651,0.11739001,22.041,9.08,28.261,0.0069,0.74383,5251146752,8.124,0.0,9.421465,0.0008,2.5,163312386048,0.106,3.2,0.0069,0.04707230640422117
ACNB,Financial Services,396,0.029859658,0.4695,18533,1.0,18533,1.0,0.129469,2,15.138563,15599,280703648,20121,3.347209,0.0,3.02,0.0299,-0.147,0.21934,0.0,0.0,29.62,0.0085,0.23659,18394000,2.129,0.0,1.088116,0.036510002,3.05,-12327428,0.387,0.0,0.0088,0.21038730483816057
ACND,Financial Services,0,0.0,0.0,493683,0.0,493683,0.0,0.0,2,0.0,183180,514912480,503965,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.41131002,0,0.0,0.0,0.0,0.0,0.16,513960288,0.0,0.0,0.0,-0.1003617150305706
ACOR,Healthcare,0,0.0,0.0,360916,0.0,360916,0.0,0.557963,2,0.0,185316,55666616,1123396,0.36391255,-1.278867,0.0,0.0,1.557,-0.65108,-5.214,-4.59,28.147,0.080299996,0.49585998,-99594000,-12.32,0.0,0.20854798,0.01692,2.12,238120448,0.0,-0.04,0.0892,-0.11463050011514574
ACP,Financial Services,0,0.12195122,0.0,104183,1.4,104183,1.2,1.099133,2,0.0,80923,203432608,106580,9.923846,0.0,11.98,0.104499996,13.797,-0.20004,0.0,0.0,10.146,0.0007,0.17493999,-4100641,-0.235,0.1,1.150207,0.00055,0.11,282821632,0.0,0.0,0.0,0.05988526417009326
ACR,Real Estate,4,0.0,0.0,114883,0.0,114883,0.0,1.933911,2,0.0,50619,151636960,165715,7.7818413,0.0,10.87,0.0,73.373,0.0,0.0,0.0,0.0,0.0167,0.0,-208063008,0.0,0.0,0.0,0.0,0.81,1429745920,2.766,0.0,0.0202,0.33138567768991095
ACRE,Real Estate,0,0.0894309,2.0,397200,1.32,397200,1.32,1.390032,2,22.742424,285467,502501792,341488,8.258991,10.351724,9.34,0.08939999,30.326,0.35896,0.0,1.45,14.298,0.0254,0.57248,21840000,0.66,0.0,1.0497972,0.09518,2.57,1845112832,0.491,-4.52,0.025899999,0.07137758627144661
ACRS,Healthcare,57,0.0,0.0,450450,0.0,450450,0.0,0.658721,2,0.0,744807,1240194944,3231436,191.32906,-17.733334,0.0,0.0,195.311,0.0,-26.825,-1.35,0.835,0.0147,0.66129,-51154000,-1.199,0.0,28.67066,0.096370004,0.72,1266004352,0.0,-0.23,0.0153,0.1292452675713137
ACRX,Healthcare,99,0.0,0.0,3876666,0.0,3876666,0.0,0.98104,4,0.0,3964923,248107984,6150556,48.14826,-8.384616,0.0,0.0,35.996,0.0,-4.147,-0.26,-0.639,0.0653,0.26931,-45884000,-0.559,0.0,0.0,0.02105,1.3,185487296,0.0,0.0,0.066,0.009259250061011975
ACSG,0,0,0.0,0.0,1483,0.0,1483,0.0,0.0,2,0.0,160,0,661,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.022528899091193447
